word_id,p_target_human,p_target_model,target_quartile,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
атмосфера,0.0,0.0,Q1,0.2,0.3,0.3,0.3,0.3,0.4375,0.5625,0.5625,0.5625,0.5625
атрибутику,0.0,0.0,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,0.0,0.0,Q1,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.625,0.6875,0.6875,0.6875,0.6875
банке,0.8333333333333334,0.9972909050654754,Q4,0.2,0.2,0.2,0.2,0.2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
бант,0.0,0.0,Q1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8095238095238094,0.8095238095238094,0.8095238095238094,0.8095238095238094,0.8095238095238094
баранины,0.0,0.0,Q1,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,0.8
барса,0.0,0.0,Q1,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.0967741935483871,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1372549019607843,0.1372549019607843
бездетным,0.0,0.0,Q1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
бросить,0.0,0.0,Q1,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.21052631578947367,0.2631578947368421,0.1384615384615382,0.1384615384615382,0.1692307692307688,0.23076923076923012,0.26153846153846066
вагоны,0.3157894736842105,0.0,Q4,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.1578947368421052,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.2105263157894736
вить,0.3125,0.0,Q4,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25,0.25,0.25,0.25,0.25
вол,0.0,0.0,Q1,0.14814814814814814,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7350427350427349,0.7435897435897434,0.7521367521367519,0.7521367521367519,0.7521367521367519
врач,0.0,0.0,Q1,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.037037037037037,0.074074074074074,0.074074074074074,0.074074074074074,0.074074074074074
всей,0.1666666666666666,0.0,Q4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.5277777777777777,0.5277777777777777,0.5277777777777777,0.5416666666666665,0.5416666666666665
входить,0.0,0.00325260229178408,Q1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.7419354838709676,0.7419354838709676,0.7419354838709676,0.7419354838709676,0.7419354838709676
даст,0.0476190476190476,0.0,Q3,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
дом,0.9113924050632912,0.7665600588100571,Q4,0.25,0.375,0.375,0.375,0.375,0.9240506329113924,0.9367088607594937,0.9367088607594937,0.9367088607594937,0.9367088607594937
едкой,0.0,0.0,Q1,0.25,0.25,0.25,0.25,0.25,0.5625,0.5625,0.5625,0.5625,0.5625
есть,0.1904761904761904,0.1714869538739241,Q4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.23809523809523803,0.23809523809523803,0.23809523809523803,0.23809523809523803,0.23809523809523803
желает,0.0,0.0,Q1,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.05660377358490566,0.21014492753623182,0.21014492753623182,0.21014492753623182,0.21014492753623182,0.21014492753623182
жирность,0.0,0.0,Q1,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0857142857142856,0.0857142857142856,0.0857142857142856,0.0857142857142856,0.0857142857142856
жить,0.0,0.0,Q1,0.6,0.6,0.6,0.6,0.6,0.9047619047619047,0.9047619047619047,0.9047619047619047,0.9047619047619047,0.9047619047619047
журчание,0.0,0.0,Q1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666
заварил,0.0,0.0,Q1,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15000000000000002,0.15000000000000002,0.2,0.2,0.2
заставить,0.2666666666666666,0.4386475332037065,Q4,0.2,0.3,0.3,0.3,0.3,0.3999999999999999,0.4666666666666665,0.4666666666666665,0.4666666666666665,0.4666666666666665
заявление,0.3333333333333333,0.0631433827831416,Q4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999
злило,0.0,0.0,Q1,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5625,0.5625,0.5625,0.5625,0.5625
злые,0.0,0.0,Q1,0.06896551724137931,0.1724137931034483,0.1724137931034483,0.20689655172413793,0.20689655172413793,0.257142857142857,0.38571428571428534,0.38571428571428534,0.39999999999999947,0.39999999999999947
зоркий,0.0,0.0,Q1,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5,0.5,0.5,0.5,0.5
излишества,0.0,0.0,Q1,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714
иной,0.0144927536231884,0.0,Q3,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.4057971014492753,0.4202898550724637,0.4202898550724637,0.4202898550724637,0.4202898550724637
испечь,0.0,0.0,Q1,0.0,0.017857142857142856,0.05357142857142857,0.10714285714285714,0.14285714285714285,0.0,0.0081967213114754,0.28688524590163916,0.32786885245901615,0.344262295081967
количество,1.0,0.9937407360414755,Q4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
командиру,0.0,0.0,Q1,0.125,0.25,0.375,0.375,0.375,0.3157894736842105,0.6842105263157894,0.7368421052631579,0.7368421052631579,0.7368421052631579
кораблей,0.8840579710144928,0.625670644149082,Q4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696
который,0.4395604395604392,0.0582590721562769,Q4,0.3125,0.3125,0.3125,0.3125,0.3125,0.8021978021978016,0.8021978021978016,0.8021978021978016,0.8021978021978016,0.8021978021978016
красоты,0.0,0.0,Q1,0.08823529411764706,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.1558441558441557,0.2597402597402596,0.2597402597402596,0.2597402597402596,0.2597402597402596
крен,0.0192307692307692,0.0,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
крупу,0.3125,0.524153544069485,Q4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9375,0.9375,0.9375,0.9375,0.9375
крыши,0.15,0.0,Q4,0.0625,0.0625,0.0625,0.125,0.125,0.1,0.1,0.1,0.15000000000000002,0.15000000000000002
купон,0.0,0.0,Q1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.75,0.75,0.75,0.75,0.75
лед,0.0,0.0,Q1,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.3188405797101449,0.3188405797101449,0.3188405797101449,0.3188405797101449,0.3188405797101449
лес,0.7586206896551724,0.8960099990570877,Q4,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7701149425287356,0.7701149425287356,0.7701149425287356,0.7701149425287356,0.7701149425287356
лестнице,0.0,0.0,Q1,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.0161290322580645
летела,0.18939393939393928,0.0,Q4,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.0606060606060605,0.0606060606060605,0.1439393939393936,0.27272727272727215,0.27272727272727215
летом,0.0,0.0,Q1,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913,0.608695652173913
лис,0.0,0.0,Q1,0.13157894736842105,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.18421052631578946,0.3015873015873014,0.35714285714285693,0.35714285714285693,0.35714285714285693,0.35714285714285693
лом,0.0161290322580645,0.0388480593294056,Q3,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.2727272727272727,0.3225806451612902,0.3387096774193547,0.3387096774193547,0.3548387096774192,0.3548387096774192
лопоухая,0.0,0.0,Q1,0.07894736842105263,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.056338028169014,0.084507042253521,0.084507042253521,0.084507042253521,0.084507042253521
мазь,0.8421052631578947,0.9737849294583797,Q4,0.25,0.25,0.25,0.25,0.25,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947
микробы,0.0,0.0,Q1,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0993377483443708,0.1059602649006621
миссионеры,0.0,0.0,Q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
молоко,0.0,0.0,Q1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.1578947368421052
мопед,0.0,0.0,Q1,0.125,0.125,0.125,0.125,0.125,0.375,0.375,0.375,0.375,0.375
мужу,0.0,0.0,Q1,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.28235294117647025,0.28235294117647025,0.28235294117647025,0.28235294117647025,0.28235294117647025
мяли,0.0,0.0,Q1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25,0.25,0.25,0.25
называют,0.0,0.0,Q2,0.2,0.2,0.2,0.2,0.2,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471
напряжение,0.2,0.3792472708873959,Q4,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999
неопытным,0.0,0.0,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
несчастные,0.0,0.0,Q2,0.5,0.75,0.75,0.75,0.75,0.5333333333333332,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998
неявное,0.0,0.0,Q2,0.0625,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.158878504672897,0.1682242990654203,0.1682242990654203,0.1682242990654203,0.1682242990654203
новой,0.0,0.0,Q2,0.16666666666666666,0.25,0.25,0.25,0.25,0.4285714285714284,0.5238095238095236,0.5238095238095236,0.5238095238095236,0.5238095238095236
ноев,0.0,0.0,Q2,0.11363636363636363,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.18032786885245883,0.2622950819672128,0.2622950819672128,0.2622950819672128,0.2622950819672128
ножа,0.1014492753623188,0.0,Q4,0.047619047619047616,0.047619047619047616,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.37681159420289845,0.37681159420289845,0.39130434782608686,0.39130434782608686,0.39130434782608686
нюх,0.031578947368421,0.0,Q3,0.12,0.2,0.2,0.2,0.2,0.2421052631578946,0.3684210526315787,0.3684210526315787,0.3684210526315787,0.3684210526315787
обгорели,0.0,0.0,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
обнаружена,0.0,0.0,Q2,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.6923076923076923,0.7115384615384615,0.7115384615384615,0.7115384615384615,0.7115384615384615
обстановка,0.1333333333333333,0.1502798753818162,Q4,0.75,0.75,0.75,0.75,0.75,0.9333333333333331,0.9333333333333331,0.9333333333333331,0.9333333333333331,0.9333333333333331
обществе,0.0588235294117647,0.04622708336544456,Q3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
одинаковые,0.0,0.0,Q2,0.125,0.25,0.25,0.25,0.25,0.3333333333333333,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.4666666666666666
омоет,0.0,0.0,Q2,0.25,0.25,0.25,0.25,0.25,0.4375,0.4375,0.4375,0.4375,0.4375
орехового,0.0,0.0,Q2,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.0958904109589041,0.0958904109589041,0.0958904109589041,0.0958904109589041,0.0958904109589041
осы,0.0,0.0,Q2,0.13793103448275862,0.1724137931034483,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.5507246376811594,0.5797101449275363,0.5942028985507246,0.5942028985507246,0.5942028985507246
отдельная,0.0,0.0,Q2,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.125,0.125,0.125,0.125,0.125
открытая,0.0,0.0,Q2,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.9047619047619047,0.9523809523809522,0.9523809523809522,0.9523809523809522
пахучим,0.0,0.0,Q2,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.4505494505494504,0.9450549450549449,0.9450549450549449,0.9450549450549449,0.9450549450549449
пластмассы,0.0714285714285714,0.0,Q3,0.25,0.25,0.25,0.25,0.25,0.5714285714285713,0.5714285714285713,0.5714285714285713,0.5714285714285713,0.5714285714285713
повторили,0.0,0.0,Q2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4666666666666665,0.4666666666666665,0.4666666666666665,0.4666666666666665,0.4666666666666665
подвинул,0.0,0.0,Q2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25
подруга,0.0365853658536585,0.018976684650515573,Q3,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.1097560975609755,0.1097560975609755,0.1097560975609755,0.1097560975609755,0.1097560975609755
покрывало,0.2941176470588235,2.8710524373845365e-06,Q4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.8235294117647058
полный,0.0,0.1806014288205767,Q2,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.4210526315789473
получает,0.0,0.0,Q2,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4705882352941176,0.5294117647058822,0.5294117647058822,0.5294117647058822,0.5294117647058822
пополнела,0.0625,0.0,Q3,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.125,0.125,0.125,0.125
