word_id,H_human,H_model,entropy_quartile,overlap_at_5,weighted_overlap_at_5,overlap_at_10,weighted_overlap_at_10,overlap_at_20,weighted_overlap_at_20,overlap_at_50,weighted_overlap_at_50,overlap_at_100,weighted_overlap_at_100
атмосфера,2.3393717343898155,0.5760203157996482,Q2,0.2,0.4375,0.3,0.5625,0.3,0.5625,0.3,0.5625,0.3,0.5625
атрибутику,2.0449311748495904,1.0214971058215234,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
бампера,1.3334730391185028,1.3927520996409952,Q1,0.14285714285714285,0.625,0.2857142857142857,0.6875,0.2857142857142857,0.6875,0.2857142857142857,0.6875,0.2857142857142857,0.6875
банке,0.6816102690529525,0.03582455873568731,Q1,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334
бант,1.8179404272531652,1.4277838642794243,Q2,0.42857142857142855,0.8095238095238095,0.42857142857142855,0.8095238095238095,0.42857142857142855,0.8095238095238095,0.42857142857142855,0.8095238095238095,0.42857142857142855,0.8095238095238095
баранины,0.777661295762166,1.1169003376721738,Q1,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.8
барса,3.4647731684448377,1.1190578709734957,Q4,0.06451612903225806,0.1176470588235294,0.06451612903225806,0.1176470588235294,0.06451612903225806,0.1176470588235294,0.0967741935483871,0.1372549019607843,0.0967741935483871,0.1372549019607843
бездетным,1.5363757657430797,1.3446032632330225,Q1,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222,0.2857142857142857,0.7222222222222222
бросить,3.3311652170168884,0.5326626546481968,Q4,0.07894736842105263,0.1384615384615382,0.07894736842105263,0.1384615384615382,0.13157894736842105,0.1692307692307688,0.21052631578947367,0.23076923076923012,0.2631578947368421,0.2615384615384607
вагоны,2.2326944771870654,1.1532615711886385,Q2,0.18181818181818182,0.1578947368421052,0.2727272727272727,0.2105263157894736,0.2727272727272727,0.2105263157894736,0.2727272727272727,0.2105263157894736,0.2727272727272727,0.2105263157894736
вить,2.0963525794641384,0.8475536191844402,Q2,0.2222222222222222,0.25,0.2222222222222222,0.25,0.2222222222222222,0.25,0.2222222222222222,0.25,0.2222222222222222,0.25
вол,1.6415094087777704,0.9170062808452477,Q1,0.14814814814814814,0.7350427350427349,0.18518518518518517,0.7435897435897434,0.2222222222222222,0.7521367521367519,0.2222222222222222,0.7521367521367519,0.2222222222222222,0.7521367521367519
врач,2.731050274436965,0.7836971210140503,Q3,0.05555555555555555,0.037037037037037,0.1111111111111111,0.074074074074074,0.1111111111111111,0.074074074074074,0.1111111111111111,0.074074074074074,0.1111111111111111,0.074074074074074
всей,2.441742467588478,1.4950550525497526,Q3,0.1111111111111111,0.5277777777777777,0.1111111111111111,0.5277777777777777,0.1111111111111111,0.5277777777777777,0.16666666666666666,0.5416666666666665,0.16666666666666666,0.5416666666666665
входить,1.4660734894939398,0.36512668958711647,Q1,0.23076923076923078,0.7419354838709676,0.23076923076923078,0.7419354838709676,0.23076923076923078,0.7419354838709676,0.23076923076923078,0.7419354838709676,0.23076923076923078,0.7419354838709676
даст,2.40056312640875,0.9575845222182009,Q3,0.07692307692307693,0.2857142857142857,0.07692307692307693,0.2857142857142857,0.07692307692307693,0.2857142857142857,0.07692307692307693,0.2857142857142857,0.07692307692307693,0.2857142857142857
дом,0.4717268326042859,0.9852386584497876,Q1,0.25,0.9240506329113924,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937
едкой,1.7479662368880953,1.321376870576118,Q1,0.25,0.5625,0.25,0.5625,0.25,0.5625,0.25,0.5625,0.25,0.5625
есть,2.598605177997306,1.0841844708231596,Q3,0.14285714285714285,0.23809523809523803,0.14285714285714285,0.23809523809523803,0.14285714285714285,0.23809523809523803,0.14285714285714285,0.23809523809523803,0.14285714285714285,0.23809523809523803
желает,3.7996284273834253,0.7158980826439673,Q4,0.05660377358490566,0.21014492753623182,0.05660377358490566,0.21014492753623182,0.05660377358490566,0.21014492753623182,0.05660377358490566,0.21014492753623182,0.05660377358490566,0.21014492753623182
жирность,3.4812412856957518,0.7165517765898975,Q4,0.024390243902439025,0.0857142857142856,0.024390243902439025,0.0857142857142856,0.024390243902439025,0.0857142857142856,0.024390243902439025,0.0857142857142856,0.024390243902439025,0.0857142857142856
жить,1.1126445037794073,1.089657769746033,Q1,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047,0.6,0.9047619047619047
журчание,2.474378668987344,0.9390920428836376,Q3,0.14285714285714285,0.1666666666666666,0.14285714285714285,0.1666666666666666,0.14285714285714285,0.1666666666666666,0.14285714285714285,0.1666666666666666,0.14285714285714285,0.1666666666666666
заварил,2.415052121917807,1.0403930506951853,Q3,0.15384615384615385,0.15000000000000002,0.15384615384615385,0.15000000000000002,0.23076923076923078,0.2,0.23076923076923078,0.2,0.23076923076923078,0.2
заставить,2.153532456654253,0.9519630442303153,Q2,0.2,0.3999999999999999,0.3,0.4666666666666665,0.3,0.4666666666666665,0.3,0.4666666666666665,0.3,0.4666666666666665
заявление,1.951848439223887,1.204565814803948,Q2,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.5999999999999999
злило,2.3933121229745242,1.1575138270698,Q3,0.4166666666666667,0.5625,0.4166666666666667,0.5625,0.4166666666666667,0.5625,0.4166666666666667,0.5625,0.4166666666666667,0.5625
злые,2.9467545709302208,0.6478097426574281,Q4,0.06896551724137931,0.257142857142857,0.1724137931034483,0.38571428571428534,0.1724137931034483,0.38571428571428534,0.20689655172413793,0.3999999999999995,0.20689655172413793,0.3999999999999995
зоркий,1.8346096344580887,0.7054989742417017,Q2,0.2222222222222222,0.5,0.2222222222222222,0.5,0.2222222222222222,0.5,0.2222222222222222,0.5,0.2222222222222222,0.5
излишества,2.242973226438146,0.828372082980456,Q2,0.0,0.0,0.0,0.0,0.09090909090909091,0.0714285714285714,0.09090909090909091,0.0714285714285714,0.09090909090909091,0.0714285714285714
иной,2.8247680796495245,1.0271434169002367,Q4,0.16666666666666666,0.40579710144927533,0.20833333333333334,0.4202898550724637,0.20833333333333334,0.4202898550724637,0.20833333333333334,0.4202898550724637,0.20833333333333334,0.4202898550724637
испечь,3.479625376456895,0.6721934291510234,Q4,0.0,0.0,0.017857142857142856,0.0081967213114754,0.05357142857142857,0.28688524590163916,0.10714285714285714,0.3278688524590162,0.14285714285714285,0.34426229508196704
количество,-0.0,0.03844093551766051,Q1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
командиру,1.661705933968781,1.747344912002444,Q1,0.125,0.3157894736842105,0.25,0.6842105263157894,0.375,0.7368421052631579,0.375,0.7368421052631579,0.375,0.7368421052631579
кораблей,0.5395820292649164,1.1299803155562969,Q1,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696
