word_id,n_human_lemmas,overlap_at_5,weighted_overlap_at_5,surface_match_at_5,surface_weighted_match_at_5,overlap_at_10,weighted_overlap_at_10,surface_match_at_10,surface_weighted_match_at_10,overlap_at_15,weighted_overlap_at_15,surface_match_at_15,surface_weighted_match_at_15,overlap_at_20,weighted_overlap_at_20,surface_match_at_20,surface_weighted_match_at_20,overlap_at_50,weighted_overlap_at_50,surface_match_at_50,surface_weighted_match_at_50,overlap_at_100,weighted_overlap_at_100,surface_match_at_100,surface_weighted_match_at_100,overlap_at_200,weighted_overlap_at_200,surface_match_at_200,surface_weighted_match_at_200
банке,5,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334,0.2,0.8333333333333334
количество,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
телефон,3,0.3333333333333333,0.953846153846154,0.3333333333333333,0.953846153846154,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847,0.6666666666666666,0.9846153846153847
мазь,4,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947,0.25,0.8421052631578947
страницы,5,0.4,0.7894736842105263,0.4,0.7894736842105263,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632,0.6,0.8947368421052632
расходу,45,0.1111111111111111,0.44927536231884047,0.08695652173913043,0.42753623188405787,0.1111111111111111,0.44927536231884047,0.10869565217391304,0.4492753623188405,0.1111111111111111,0.44927536231884047,0.10869565217391304,0.4492753623188405,0.1111111111111111,0.44927536231884047,0.10869565217391304,0.4492753623188405,0.1111111111111111,0.44927536231884047,0.10869565217391304,0.4492753623188405,0.1111111111111111,0.44927536231884047,0.10869565217391304,0.4492753623188405,0.1111111111111111,0.44927536231884047,0.10869565217391304,0.4492753623188405
входить,13,0.23076923076923078,0.7419354838709676,0.2,0.7258064516129031,0.23076923076923078,0.7419354838709676,0.2,0.7258064516129031,0.23076923076923078,0.7419354838709676,0.2,0.7258064516129031,0.23076923076923078,0.7419354838709676,0.2,0.7258064516129031,0.23076923076923078,0.7419354838709676,0.2,0.7258064516129031,0.23076923076923078,0.7419354838709676,0.2,0.7258064516129031,0.23076923076923078,0.7419354838709676,0.2,0.7258064516129031
лес,18,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356,0.1111111111111111,0.7701149425287356
открытая,7,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.9047619047619047,0.42857142857142855,0.9047619047619047,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522,0.5714285714285714,0.9523809523809522
обществе,3,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353
обнаружена,17,0.11764705882352941,0.6923076923076923,0.11764705882352941,0.6923076923076923,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615,0.17647058823529413,0.7115384615384615
дом,8,0.25,0.9240506329113924,0.25,0.9240506329113924,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937,0.375,0.9367088607594937
обстановка,4,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331,0.75,0.9333333333333331
атмосфера,10,0.2,0.4375,0.25,0.375,0.3,0.5625,0.25,0.375,0.3,0.5625,0.25,0.375,0.3,0.5625,0.25,0.375,0.3,0.5625,0.25,0.375,0.3,0.5625,0.25,0.375,0.3,0.5625,0.25,0.375
узкой,14,0.14285714285714285,0.3333333333333332,0.14285714285714285,0.3333333333333332,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808,0.21428571428571427,0.3809523809523808
юлин,14,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263,0.21428571428571427,0.2641509433962263
стоимостью,3,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375
кораблей,6,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696,0.3333333333333333,0.9130434782608696
ускользать,17,0.29411764705882354,0.21153846153846131,0.29411764705882354,0.21153846153846131,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381,0.4117647058823529,0.2884615384615381
называют,5,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471,0.2,0.5882352941176471
центре,5,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946,0.4,0.8421052631578946
снег,22,0.18181818181818182,0.5121951219512194,0.17391304347826086,0.4999999999999999,0.18181818181818182,0.5121951219512194,0.17391304347826086,0.4999999999999999,0.18181818181818182,0.5121951219512194,0.17391304347826086,0.4999999999999999,0.18181818181818182,0.5121951219512194,0.17391304347826086,0.4999999999999999,0.18181818181818182,0.5121951219512194,0.17391304347826086,0.4999999999999999,0.18181818181818182,0.5121951219512194,0.17391304347826086,0.4999999999999999,0.18181818181818182,0.5121951219512194,0.17391304347826086,0.4999999999999999
шлейф,7,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625,0.2857142857142857,0.625
крупу,3,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375,0.6666666666666666,0.9375
соринку,10,0.3,0.7727272727272726,0.3076923076923077,0.7386363636363635,0.3,0.7727272727272726,0.46153846153846156,0.7727272727272726,0.3,0.7727272727272726,0.46153846153846156,0.7727272727272726,0.3,0.7727272727272726,0.46153846153846156,0.7727272727272726,0.3,0.7727272727272726,0.46153846153846156,0.7727272727272726,0.3,0.7727272727272726,0.46153846153846156,0.7727272727272726,0.3,0.7727272727272726,0.46153846153846156,0.7727272727272726
