K,overlap_at_K,weighted_overlap_at_K,surface_match_at_K,surface_weighted_match_at_K
5,0.21567749679695092,0.41369981056406435,0.1999232072899612,0.38538990037179155
10,0.24476534127778318,0.4349681489932179,0.22977319674148322,0.41164927025477904
15,0.24940176481268989,0.43839519118617815,0.2353488453726874,0.41592924271678805
20,0.25090794701377345,0.4427836408331933,0.2358749396487817,0.4161829732412559
50,0.25651586367340795,0.44691635579369776,0.23741388173650424,0.41788737508050855
100,0.25845766045484286,0.44870224914817874,0.23793069780210083,0.4181769612253578
200,0.2585839230811055,0.4487596412510254,0.23793069780210083,0.4181769612253578
