quartile,mean_H_human,mean_H_model,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
Q1,1.0643897763175998,0.7289070057502474,0.369328202661536,0.42520342312008974,0.43075897867564533,0.4347272326438993,0.4347272326438993,0.7117363573551281,0.7427455834849347,0.7441117037035139,0.7457456906316184,0.7457456906316184
Q2,1.97229618767678,0.9865741681859996,0.2524556462056462,0.2839767100183767,0.2870631297714631,0.2882205371788705,0.2882205371788705,0.462183562767652,0.4855740115106475,0.48788882632546227,0.48871801372181384,0.48871801372181384
Q3,2.4923829789225405,0.8550471287187963,0.1507707490232949,0.16754333449798764,0.17375470218596353,0.18072169352795486,0.18538369818995953,0.2785897147546213,0.29167457807179226,0.2958303623532639,0.29961898652455726,0.30543909234466304
Q4,3.1965225999353013,0.7807732646066505,0.09015538929732664,0.10233789747467864,0.11205497742202174,0.122393991342907,0.1254991738066421,0.20228960737885607,0.21987842290549703,0.2433036709505332,0.25358273229680134,0.25490619989461955
