class,mean_p_target_human,mean_p_target_model,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100,description,n_contexts
C1,0.3976237023242155,0.37798994017983945,0.34219348004095385,0.392690042302222,0.39599241588323336,0.4071406072171832,0.4071406072171832,0.6246864592990233,0.6440295533580356,0.6491394920703626,0.6571006678186672,0.6571006678186672,both hit,34
C2,0.09897854059098042,0.0,0.13778649306485258,0.160148371076,0.16728462596943192,0.17440534615833392,0.17582580070378848,0.31940922093612717,0.3444456358903844,0.3567499360678189,0.3631876160349106,0.3635934601907548,only humans,22
C3,0.0,0.09192699979538545,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.599271402550091,0.599271402550091,0.599271402550091,0.599271402550091,0.599271402550091,only model,2
C4,0.0,0.0,0.18575595003808232,0.20877694041147168,0.21593109060417756,0.21909208652833137,0.22198009509259456,0.3500917144112034,0.37165188193211074,0.3795704668720385,0.38169607175104153,0.3845825842117008,neither,86
