quartile,mean_p_target_human,mean_p_target_model,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
Q1,0.0,9.035006366066889e-05,0.15114565127961088,0.17245224473013754,0.1840693299948836,0.1900672824058827,0.1929842971650027,0.3371150943330861,0.36328239860788497,0.37695086844906117,0.38349957327859385,0.3849936063327181
Q2,0.0,0.0050167063561271305,0.1482465448491834,0.18770853888018385,0.19744233956226037,0.19744233956226037,0.19744233956226037,0.2828258434970598,0.3395729091874144,0.3480139888961735,0.3480139888961735,0.3480139888961735
Q3,0.0168617880466317,0.008957053018069405,0.19695154134760082,0.22340017324232925,0.22761938617297592,0.23141237680807183,0.23141237680807183,0.3629590859121978,0.3989401184269654,0.4036158520892657,0.4070620161983072,0.4070620161983072
Q4,0.4039496704707769,0.34804714196026615,0.2549309805197486,0.2931660671923353,0.29888804499311744,0.31093131238058774,0.31172496317423853,0.5622779942192685,0.57955284294031,0.5879989404043984,0.5980496121746264,0.598289075776159
