mapped_POS,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,total,ADJ_percent,ADP_percent,ADV_percent,AUX_percent,CCONJ_percent,DET_percent,INTJ_percent,NOUN_percent,NUM_percent,PART_percent,PRON_percent,PROPN_percent,PUNCT_percent,SCONJ_percent,VERB_percent
ADJF,5501,472,457,1,87,141,251,5319,45,122,204,155,59,6,1665,14485,37.98,3.26,3.15,0.01,0.6,0.97,1.73,36.72,0.31,0.84,1.41,1.07,0.41,0.04,11.49
NOUN,10127,1029,685,2,188,351,725,19083,94,197,540,681,31,1,3231,36965,27.4,2.78,1.85,0.01,0.51,0.95,1.96,51.62,0.25,0.53,1.46,1.84,0.08,0.0,8.74
NPRO,509,50,50,0,12,35,26,444,2,12,40,37,0,1,280,1498,33.98,3.34,3.34,0.0,0.8,2.34,1.74,29.64,0.13,0.8,2.67,2.47,0.0,0.07,18.69
VERB,1247,478,403,0,59,43,198,2187,14,101,189,69,10,3,9169,14170,8.8,3.37,2.84,0.0,0.42,0.3,1.4,15.43,0.1,0.71,1.33,0.49,0.07,0.02,64.71
